Query,Spike Percentage,Trend Data
Desk Organizer,0.00%,"83, 75, 100, 95, 93, 94, 79, 82, 70, 94, 85, 86, 72, 73, 90, 74, 84, 80, 82, 82, 75, 69, 77, 75, 76, 74, 74, 74, 68, 71, 71"
Imagimake Mapology World Map Puzzle Educational Toys for Kids 57 Puzzles for Kids Ages 48,0.00%,
Justin McLaughlin,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 44, 64, 51, 37, 33, 100, 35, 30, 45, 35, 46, 0, 69"
Geelong Electric Vehicle Chargers,0.00%,
Deep Tissue Massage Guns,0.00%,
Hawaii For Dummies,0.00%,
Pet Grooming Kits,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0"
Wearable Baby Monitor,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 83, 0, 0, 0, 0, 100, 0, 59, 52, 58, 0, 0, 0"
Meagaome Organic cotton tshirts mens mens tshirts Vacation Shirt Oversize Shirt Verde Para Hombre Gi,0.00%,
Ring DIN Rail Transformer 2nd Generation for Connected Video Doorbells,0.00%,
DK Eyewitness Norway,0.00%,
MAXWINER Essential Oil Diffusers Ultrasonic 3D Glass Aromatherapy Diffuser Auto ShutOff,0.00%,
Samsonite Designer Luggage Tag ID Tag,0.00%,
Big DealsRYDCOT Portable Tire Inflators Car Tire Air Pump Portable 150Psi Compresor AIr Pump For Car,0.00%,
Baby Carriers  Beth Young,0.00%,
Playseat Trophy Simulator Seat,0.00%,
Simulation Modeling and Analysis,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 82, 84, 73, 96, 39, 77, 100, 89, 66, 86, 93, 65, 68"
Smart Clothing Bolton  Ltd,0.00%,
1pc Foldable Bike Repair Kits MultiFunction Bike Tool for Bike Maintenance,0.00%,
Solar Garden Lights 3 Pack Solar Stake Light Color Changing Solarpowered Decorative Landscape Lighti,0.00%,
Charming Cottage on Acreage Lot Short Walk to Historic Town Shops  Wine Bars,0.00%,
4 Sets of Clock Mechanisms Wall Clock Mechanisms Clock Movement Kits Clock Movements for Replacement,0.00%,
Air Fryers Are They Worth It,0.00%,
Babylonia Baby Carrier 100 Bio Cotton  Tricot Slen Model  500 cm  Black,0.00%,
Only the Ring Finger Knows,0.00%,
Perfet Qwert Wireless Phone Tablet Foldable Keyboards,0.00%,
Reverend Musical Instruments,0.00%,
The water camper is simply and practically furnished,0.00%,
Built to Burn Tales of the Desert Carnies of Burning Man,0.00%,
Journey Into Darkness,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 100, 90, 77, 93, 82, 64, 81, 80, 49, 75, 86, 0, 0"
Locator Lights for Airborne Applications Specification for Lifejacket Lights,0.00%,
Little White Fish,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 21, 28, 24, 23, 25, 21, 24, 27, 22, 20, 26, 22, 17, 19"
How Do Dinosaurs Say Trick Or Treat,0.00%,
Actively Black Athleisure Wear,0.00%,"0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0"
DerLook Designer Furniture,0.00%,
Portable Luggage Scales 50kg x 10g Hanging Electronic Digital Scales for Travel Suitcase Luggage Tra,0.00%,
Young China How the Restless Generation Will Change Their Country and the World,0.00%,
Nicole Miller Luggage,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 83, 0, 0, 0, 0, 0, 0"
The Babylon Bee Guide to Gender,0.00%,
The Crochet Crowd Inspire Create and Celebrate,0.00%,
Dash Cams Australia,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 50, 0, 41, 53, 40, 73, 58, 70, 61, 62, 90, 0, 100"
Lego Houses of the World 1 Set 40583,0.00%,
Mosaic Weighted Blankets,0.00%,
NSCAs Guide to Sport and Exercise Nutrition,0.00%,
Travel Face Masks,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 89, 0, 93, 0, 88, 82, 79, 0, 0, 0, 0, 0, 0"
Mens Sunice Hamilton Thermal Hybrid Jacket,0.00%,
Updated Safety Guidelines Newly Renovated Townhouse With Private Beach Access,0.00%,
Dashboard Camera,0.00%,"52, 42, 48, 55, 38, 44, 50, 0, 0, 34, 39, 50, 59, 54, 100, 41, 33, 46, 56, 43, 46, 41, 45, 44, 45, 40, 45, 44, 44, 43, 48"
Build Your Own Electric Bicycle,0.00%,
Smart Moms Guide to Essential Oils Natural Solutions for a Healthy Family ToxinFree Home and Happier,0.00%,
ProSupps Hyde Nightmare,0.00%,
Top Mens Mechanical Automatic Clock Watches 42mm Leather Strap Highend Trend Hollow Out SelfWind Cla,0.00%,
LED zahradn svtla solrn non osvtlen tvar ptka SolarPowered trvnk lampa doprava zdarma,0.00%,
Artificial Intelligence For Dummies,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 6, 4, 6, 0, 0, 6, 0"
Powkiddyq90 Open Source Handheld Gaming Console 30inch IPS Screen Support 12 Kinds of Emulators Supp,0.00%,
Empowered Homes Inc,0.00%,
Zehra Hicks,0.00%,
Aldom Massage Guns YLMG001,0.00%,
Gaia Guy Natural Bristle Bamboo Toothbrush Totally Compostable  Biodegradable Boar Bristle and Bambo,0.00%,
Apple Magic Keyboard with Touch ID and Numeric Keypad,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 100, 80, 73, 97, 0, 0, 65, 77, 91, 66, 94, 70, 66"
Lucy Lue Organics,0.00%,
Crossings How Road Ecology Is Shaping the Future of Our Planet,0.00%,
Coffee Shop Personal Finance Journal 8 5 X 11 Full Color Interior 53 Pages 3 Month Tracker Personal ,0.00%,
Microsoft AllinOne Media Keyboard,0.00%,
The New Dolls House Doityourself Book In 112 and 116 Scale,0.00%,
PNKRE Eyebrow Styling Wax Soap Kit Brow Freeze Pomade Organic Makeup Gel,0.00%,
GameSir T4 Kaleid Transparent PC Controller Wired Gaming Controller for PCSwitchAndroid TV Box Plug ,0.00%,
Laura Thomas,0.00%,"71, 0, 81, 62, 84, 96, 71, 64, 52, 52, 83, 70, 59, 100, 74, 62, 61, 74, 67, 65, 61, 62, 49, 54, 63, 59, 63, 71, 57, 50, 56"
Nike Mens Tiempo Legend 10 Elite FG,0.00%,
Remodelista in Maine A Design Lovers Guide to Inspired DowntoEarth Style,0.00%,
Desi Tales Indian and Pakistani Tales,0.00%,
Every Landlords Guide to Managing Property Best Practices From MoveIn to MoveOut,0.00%,
Discovering World Geography,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 100, 71, 0, 0, 0, 73, 84, 88, 55, 74, 0, 0, 0"
Cmi Health Spo2 Sensor For Infants Compatible Only With Cmi Health Handheld Pulse Oximeters,0.00%,
Portable Bluetooth Speakers HARMAN KARDON Go  Play Wireless,0.00%,
Ring Smart Lighting Bridge,0.00%,
Little Bumble Reusable Food Wraps,0.00%,
KCups Recycled Plastic Into Shoes,0.00%,
Effie Zahos,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 18, 100, 28, 7, 5, 6, 8, 0, 16, 7, 9, 7, 0"
Kryptonite New York Fahgettaboudit Chain Lock,0.00%,
The 28 Day DASH Diet Weight Loss Program Recipes and Workouts to Lower Blood Pressure and Improve Yo,0.00%,
Planning the Most Magical Wedding Premium Wedding Planner Notebook Includes Seat Planner Budget Expe,0.00%,
Callaway Paradym Ai Smoke Max Driver,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 91, 99, 69, 77, 53, 88, 74, 96, 100, 89, 99, 64, 67"
SuperSight What Augmented Reality Means for Our Lives Our Work and the Way We Imagine the Future,0.00%,
One of Our Kind A Novel,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0"
Qwert Wireless Phone Tablet Foldable Keyboards,0.00%,
COZYROOMY Bike Repair Kits  Bicycle Tool Kit with 10 in 1 Multifunction Bike Tool MultiPurpose Bone ,0.00%,
3D Printing Pens,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0"
LED Garden Lights Solar Night Lights Bird Shape SolarPowered Lawn Lamp,0.00%,
Cat Mate Stainless Steel Bowl Inserts x 2 for C100 and C200 Automatic Feeders,0.00%,
Kesser Yoga mats,0.00%,
Mobile Solar Chargers Limited,0.00%,
FineDine 24 Piece Glass Storage Containers with Lids Leak Proof Dishwasher Safe Glass Food Storage C,0.00%,
Extel Doorbells  Door intercom system 720324 Video Door Phone System WLAN Complete Set Grey Black,0.00%,
Aeris Muvmat  Thick Anti Fatigue Mat For Standing Desks Premium Kitchen Mat Ergonomic 2Zone Standing,0.00%,
Golf club,0.00%,"97, 92, 98, 92, 91, 87, 82, 90, 91, 98, 87, 84, 80, 89, 92, 92, 99, 100, 89, 87, 87, 89, 83, 84, 84, 79, 77, 78, 79, 83, 73"
HURRISE Pet Grooming Kits LCD Cordless Quiet Pet Hair Clippers Trimmer Kit Fast,0.00%,
Soy protein concentrate,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 84, 57, 43, 91, 68, 100, 78, 93, 93, 78, 70, 55, 43"
2800 ft House  3 bedrooms  6 guests,0.00%,
The 12 Best LED Light Therapy Masks of 2022,0.00%,
Potential of LED Light Therapy Masks,0.00%,
GameSir Wired Controller G7 for Xbox,0.00%,
BeYOUtiful Bath Bombs  More,0.00%,
Smart Watches Fitness Trackers  Version 1005  Android,0.00%,
InstaJet Charters  Private Jet Rentals,0.00%,
The Original Reusable Paper TowelsAll Purpose,0.00%,
Tool Kits 46 Piece Tool Sets Socket Set For Daily Repair and Diy Home Tool Box Screwdriver Wrench Ha,0.00%,
Massage Guns Ireland,0.00%,
DPVR E4 Gaming PC VR Headsets 4K 116 FOV 120Hz Refresh Rate,0.00%,
Stock Investing For Dummies,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 80, 0, 0, 74, 100, 62, 97, 79, 0, 85, 97, 0"
animation software,0.00%,"84, 92, 82, 89, 93, 100, 76, 82, 96, 96, 93, 90, 94, 98, 93, 85, 78, 88, 92, 85, 95, 85, 96, 89, 93, 96, 97, 86, 88, 93, 85"
Rokid Max Portable AR Glasses Full HD Augmented Reality MicroOLED 120Hz USBC Android  iOS,0.00%,
HUION Inspiroy H1161 Graphics Drawing Tablets Touch Strip and 8192 Pen Pressure Sketch Tablet with B,0.00%,
Ergo Standing Desks,0.00%,
Electronic Scale Mini Portable Luggage Scales Electronic Scales Weighing 50kg Household Highprecisio,0.00%,
Period Repair Manual Natural Treatment for Better Hormones and Better Periods,0.00%,
Sparkl,0.00%,"0, 0, 73, 0, 0, 100, 89, 0, 0, 0, 0, 0, 0, 0, 66, 0, 71, 87, 66, 60, 76, 65, 50, 61, 65, 69, 63, 57, 53, 55, 57"
Unreal Engine 4 Virtual Reality Projects Build Immersive Realworld VR Applications Using UE4 C and U,0.00%,
Ergonomic Chair,0.00%,"71, 70, 76, 81, 91, 79, 71, 68, 80, 66, 75, 70, 100, 73, 71, 68, 70, 72, 71, 76, 71, 68, 64, 67, 75, 71, 72, 69, 68, 66, 69"
How to Save the World For Free,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 53, 86, 91, 91, 0, 81, 93, 85, 72, 71, 95, 67, 51"
Milwaukee Tool,0.00%,"88, 79, 82, 78, 89, 94, 91, 93, 85, 84, 98, 90, 100, 91, 83, 88, 80, 81, 86, 91, 90, 91, 80, 73, 88, 90, 89, 95, 82, 77, 81"
MultiSac Handbags,0.00%,
Sandever Beach Tennis Rackets Set BTR 160 Ov in Base Color,0.00%,
PRIVATE JET RENTALS,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 69, 0, 47, 45, 100, 47, 39, 53, 50, 38, 44, 65, 0"
Hope Is Not a Method What Business Leaders Can Learn from Americas Army,0.00%,
Fridge Love Organize Your Refrigerator for a Healthier Happier Lifewith 100 Recipes,0.00%,
Agreena Threeinone Reusable Food Wraps 300 x 450mm Pack of 2,0.00%,"0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Mainstays Reusable Paper Towels,0.00%,
Banff Jasper  Glacier National Parks,0.00%,
Peaceful Klamath Falls Home w Large Fenced Yard,0.00%,
DK Eyewitness Tokyo,0.00%,
Ello Duraglass Glass Food Storage Meal Prep Containers Bowls with Silicone Sleeve and Airtight Durab,0.00%,
The Midrange Theory,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
The New Mediterranean Diet Cookbook The Optimal KetoFriendly Diet that Burns Fat Promotes Longevity ,0.00%,
Coros Pace 2 Premium GPS Sport Watch,0.00%,
Face masks during the COVID19 pandemic in the United States,0.00%,
Sportsroyals Power Tower Dip Station Pull Up Bar for Home Gym Strength Training Workout Equipment,0.00%,
Fitnus Watch Activity Tracking Smart Watch Connects to Your Phone via App with Blood Pressure Heart ,0.00%,
Elgato Facecam 1080p60 True Full HD Webcam for Live Streaming,0.00%,
FREECULTR Men Pack of 2 Half Sleeve Round Neck Organic Cotton Tshirts by Myntra,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Graphics software,0.00%,"95, 88, 84, 100, 81, 88, 80, 64, 69, 74, 84, 85, 92, 90, 89, 91, 87, 81, 82, 91, 97, 91, 91, 82, 84, 86, 87, 90, 78, 83, 79"
Creative Kitchen Gadgets Removal Sheets Cloth AntiStatic 66 100 Inches Cloth Clean 100g Cleaning Sup,0.00%,
Stylus Pens for iPad Pencil Capacitive Pen High Sensitivity Fine Point,0.00%,
Razer BlackWidow V3 Mini HyperSpeed 65 Wireless Mechanical Gaming Keyboard,0.00%,
Sistema Nest It Meal Prep Food Storage Containers with Lids,0.00%,
Riley McLincha,0.00%,
Discovering Our Past A History of the World,0.00%,"0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0"
The Beginners Photography Guide The Ultimate StepbyStep Manual for Getting the Most from Your Digita,0.00%,
Smart Baby Scale,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 100, 0, 0, 0, 0, 0, 0"
Caddis Miklos Reading Glasses,0.00%,
TPLink Tapo Mini Smart WiFi Socket TAPO P110,0.00%,
Program Peace Fitness Manual and Journal,0.00%,
Building Barbecues  Outdoor Kitchens,0.00%,
Sony WHCH720N Noise Canceling Wireless Headphones,0.00%,
Saving the Family Cottage A Guide to Succession Planning for Your Cottage Cabin Camp Or Vacation Hom,0.00%,
AUSTiC 3D Shop,0.00%,
Siemens VCPOSTGRY2 Dual Post for Use with VersiCharge NonCommunicating Electric Vehicle Chargers Gre,0.00%,
TinyML Cookbook Combine Artificial Intelligence and Ultralowpower Embedded Devices to Make the World,0.00%,
DIY Knowhow with Showhow,0.00%,
